order_in_orders,order_status,order_purchase_timestamp,order_delivered_customer_date,order_in_items,itemid,price,order_in_payments,paymentid,payment_without_items
52b7f26dd95604cb836ba17f96a6b056,unavailable,2017-07-05 05:55:39,,,,,52b7f26dd95604cb836ba17f96a6b056,52b7f26dd95604cb836ba17f96a6b0561,38.01
3859aef969659dcc5439967f8ffbbc07,unavailable,2017-07-12 08:13:51,,,,,3859aef969659dcc5439967f8ffbbc07,3859aef969659dcc5439967f8ffbbc071,114.95
2c885b285dce307562d7f4caae89c6dc,unavailable,2017-09-07 07:46:20,,,,,2c885b285dce307562d7f4caae89c6dc,2c885b285dce307562d7f4caae89c6dc1,2039.44
0010dedd556712d7bb69a19cb7bbd37a,unavailable,2017-10-21 19:32:06,,,,,0010dedd556712d7bb69a19cb7bbd37a,0010dedd556712d7bb69a19cb7bbd37a1,111.12
a6f980db92567852107fe54fa64726f2,unavailable,2017-10-28 10:33:24,,,,,a6f980db92567852107fe54fa64726f2,a6f980db92567852107fe54fa64726f21,254.4
a0141c1141d9406b48466fe4d1492bf4,unavailable,2017-11-13 18:50:21,,,,,a0141c1141d9406b48466fe4d1492bf4,a0141c1141d9406b48466fe4d1492bf41,91.95
ea55dd40acfb6206bdf910b5e903ff77,unavailable,2018-01-06 01:06:13,,,,,ea55dd40acfb6206bdf910b5e903ff77,ea55dd40acfb6206bdf910b5e903ff771,130.56
80f0181edc2f4a5bd3384a3c39a83cee,unavailable,2018-01-14 19:24:28,,,,,80f0181edc2f4a5bd3384a3c39a83cee,80f0181edc2f4a5bd3384a3c39a83cee1,61.19
d9091cd1d6e36cfcebc8b01aab81eff8,unavailable,2018-01-04 11:30:24,,,,,d9091cd1d6e36cfcebc8b01aab81eff8,d9091cd1d6e36cfcebc8b01aab81eff81,171.34
ae443cb420061bab1f2c5e3ad279fde8,unavailable,2018-03-03 09:32:36,,,,,ae443cb420061bab1f2c5e3ad279fde8,ae443cb420061bab1f2c5e3ad279fde81,132.37
816e9ea5a585767bf637afdfb6d536ed,canceled,2017-09-27 20:03:11,,,,,816e9ea5a585767bf637afdfb6d536ed,816e9ea5a585767bf637afdfb6d536ed1,73.34
87ae60ef8b08ae0e5f903cacb53a6904,canceled,2018-09-11 16:45:54,,,,,87ae60ef8b08ae0e5f903cacb53a6904,87ae60ef8b08ae0e5f903cacb53a69041,258.67
742b5d98b8903f6f6a0af740ddd60f2c,unavailable,2017-02-14 17:33:54,,,,,742b5d98b8903f6f6a0af740ddd60f2c,742b5d98b8903f6f6a0af740ddd60f2c1,30.81
dd6eb2d6d50c1539804511adb0e4fa41,unavailable,2017-08-13 23:23:00,,,,,dd6eb2d6d50c1539804511adb0e4fa41,dd6eb2d6d50c1539804511adb0e4fa411,31.75
8eeaa67e826a9308e63f4436bf00a8f2,unavailable,2018-01-05 09:12:11,,,,,8eeaa67e826a9308e63f4436bf00a8f2,8eeaa67e826a9308e63f4436bf00a8f21,54.05
c2ccb6c2af36d8492e83ecf528f2755c,unavailable,2018-05-21 13:48:16,,,,,c2ccb6c2af36d8492e83ecf528f2755c,c2ccb6c2af36d8492e83ecf528f2755c1,91.56
629a524cbbd0a42a04f87ad39648d4ca,unavailable,2018-07-12 20:26:19,,,,,629a524cbbd0a42a04f87ad39648d4ca,629a524cbbd0a42a04f87ad39648d4ca1,194.78
1aecadf4362edaca7fa033e882076c8d,canceled,2016-10-04 10:05:45,,,,,1aecadf4362edaca7fa033e882076c8d,1aecadf4362edaca7fa033e882076c8d1,50.74
8040bd2eb4b6e7cfcda94f1ccdcc703d,canceled,2017-05-03 23:23:55,,,,,8040bd2eb4b6e7cfcda94f1ccdcc703d,8040bd2eb4b6e7cfcda94f1ccdcc703d1,36.86
d1b4fc9a8c1207433519a8ec52e2d03f,canceled,2018-05-08 10:05:26,,,,,d1b4fc9a8c1207433519a8ec52e2d03f,d1b4fc9a8c1207433519a8ec52e2d03f1,87.16
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc678,4.11
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc671,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc674,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc672,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc675,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc677,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc673,5.94
896fbd78a9ef3839b34b893f48f6bc67,canceled,2018-05-12 01:48:33,,,,,896fbd78a9ef3839b34b893f48f6bc67,896fbd78a9ef3839b34b893f48f6bc676,5.94
37af1b25e7710f09d122aaf3f8b68114,unavailable,2017-05-02 14:23:24,,,,,37af1b25e7710f09d122aaf3f8b68114,37af1b25e7710f09d122aaf3f8b681141,204.0
f05fbff4a434f4d0c1e09000bf45f06f,unavailable,2017-06-10 12:33:10,,,,,f05fbff4a434f4d0c1e09000bf45f06f,f05fbff4a434f4d0c1e09000bf45f06f1,84.92
73745cfd1447d2cb71537b662d59b3b8,unavailable,2017-07-20 20:02:04,,,,,73745cfd1447d2cb71537b662d59b3b8,73745cfd1447d2cb71537b662d59b3b81,106.87
efa3e0b795c3871ff5413d163cc9d6f0,unavailable,2017-11-17 19:42:32,,,,,efa3e0b795c3871ff5413d163cc9d6f0,efa3e0b795c3871ff5413d163cc9d6f01,145.06
1e792fcdefb0bb34325cdc1dee84fcea,unavailable,2018-02-11 00:41:04,,,,,1e792fcdefb0bb34325cdc1dee84fcea,1e792fcdefb0bb34325cdc1dee84fcea1,113.45
7a9d4c7f9b068337875b95465330f2fc,canceled,2017-05-01 16:12:39,,,,,7a9d4c7f9b068337875b95465330f2fc,7a9d4c7f9b068337875b95465330f2fc1,72.9
7dfff541b2a848ecb18ceb83d02bfa6a,canceled,2018-03-23 13:44:28,,,,,7dfff541b2a848ecb18ceb83d02bfa6a,7dfff541b2a848ecb18ceb83d02bfa6a1,145.69
d2bc174d5c413f457a21db6899afb682,canceled,2018-08-09 09:50:42,,,,,d2bc174d5c413f457a21db6899afb682,d2bc174d5c413f457a21db6899afb6821,198.34
15ec3d48383c58c0dc96cd66f8884630,canceled,2018-08-23 15:17:19,,,,,15ec3d48383c58c0dc96cd66f8884630,15ec3d48383c58c0dc96cd66f88846301,122.38
f86d7bc39aab05299691322044b63bb2,canceled,2018-08-13 18:43:06,,,,,f86d7bc39aab05299691322044b63bb2,f86d7bc39aab05299691322044b63bb21,1302.42
b9fffd14dc2869d69f441ff3c8f34bab,unavailable,2017-04-08 19:52:40,,,,,b9fffd14dc2869d69f441ff3c8f34bab,b9fffd14dc2869d69f441ff3c8f34bab1,98.9
9a7e2fda18922ba60aba4f140aead4dd,unavailable,2017-05-05 14:01:47,,,,,9a7e2fda18922ba60aba4f140aead4dd,9a7e2fda18922ba60aba4f140aead4dd1,224.29
876ac30251a0518e1fd87b6ec049df00,unavailable,2017-07-27 12:37:27,,,,,876ac30251a0518e1fd87b6ec049df00,876ac30251a0518e1fd87b6ec049df001,216.75
a69ba794cc7deb415c3e15a0a3877e69,unavailable,2017-08-23 16:28:04,,,,,a69ba794cc7deb415c3e15a0a3877e69,a69ba794cc7deb415c3e15a0a3877e691,195.91
1e4dc51447faa970879bb120932eebb6,unavailable,2018-01-22 09:27:54,,,,,1e4dc51447faa970879bb120932eebb6,1e4dc51447faa970879bb120932eebb61,24.52
dc69158eb223d2e98bbaaba4c9f81c87,unavailable,2018-01-13 12:26:08,,,,,dc69158eb223d2e98bbaaba4c9f81c87,dc69158eb223d2e98bbaaba4c9f81c871,231.26
0e6dbbc7484dc1ee0392c9ca801035c2,canceled,2018-03-01 22:40:51,,,,,0e6dbbc7484dc1ee0392c9ca801035c2,0e6dbbc7484dc1ee0392c9ca801035c21,312.49
0cafd6a7576a6aae0f891008a87f1546,unavailable,2017-01-20 10:31:53,,,,,0cafd6a7576a6aae0f891008a87f1546,0cafd6a7576a6aae0f891008a87f15461,10.9
0cafd6a7576a6aae0f891008a87f1546,unavailable,2017-01-20 10:31:53,,,,,0cafd6a7576a6aae0f891008a87f1546,0cafd6a7576a6aae0f891008a87f15462,31.12
a3777b94ef07749f031ade4ae824ddb2,unavailable,2017-05-30 20:06:02,,,,,a3777b94ef07749f031ade4ae824ddb2,a3777b94ef07749f031ade4ae824ddb21,117.07
b465e6231fb8411e534acc602cff4adb,unavailable,2017-06-11 23:20:34,,,,,b465e6231fb8411e534acc602cff4adb,b465e6231fb8411e534acc602cff4adb1,2125.19
54b267f79786d7ac585ab0aac88d6da6,unavailable,2017-07-24 23:36:40,,,,,54b267f79786d7ac585ab0aac88d6da6,54b267f79786d7ac585ab0aac88d6da61,89.87
3716cd16bc2a97768309209eb4d4c6a7,unavailable,2017-11-29 09:54:26,,,,,3716cd16bc2a97768309209eb4d4c6a7,3716cd16bc2a97768309209eb4d4c6a71,142.02
e5812a30b6ae5ceaae29fdb7920e7853,unavailable,2018-07-30 19:35:39,,,,,e5812a30b6ae5ceaae29fdb7920e7853,e5812a30b6ae5ceaae29fdb7920e78531,53.48
383bb8b07361166ea86f3f4b51e96ff7,canceled,2018-03-15 10:12:28,,,,,383bb8b07361166ea86f3f4b51e96ff7,383bb8b07361166ea86f3f4b51e96ff71,42.06
1982a20c2a9d116da964e488d59eebe7,unavailable,2017-02-08 16:14:48,,,,,1982a20c2a9d116da964e488d59eebe7,1982a20c2a9d116da964e488d59eebe71,34.37
ebcb685bc1704615fc22e5a0b73f2dc7,unavailable,2017-05-24 19:10:03,,,,,ebcb685bc1704615fc22e5a0b73f2dc7,ebcb685bc1704615fc22e5a0b73f2dc71,367.56
aed5fd4c4ada58504679761465a6486e,unavailable,2017-07-07 10:48:37,,,,,aed5fd4c4ada58504679761465a6486e,aed5fd4c4ada58504679761465a6486e1,57.05
2c9c2c96702997c879d75f927b76165e,unavailable,2017-09-24 10:45:10,,,,,2c9c2c96702997c879d75f927b76165e,2c9c2c96702997c879d75f927b76165e1,25.9
115b01b1f77f0e02812425b6f5cd8f2f,unavailable,2018-01-19 00:08:45,,,,,115b01b1f77f0e02812425b6f5cd8f2f,115b01b1f77f0e02812425b6f5cd8f2f1,213.59
6c15888cd708d4c1487eb36753212d69,unavailable,2018-03-07 20:19:42,,,,,6c15888cd708d4c1487eb36753212d69,6c15888cd708d4c1487eb36753212d691,42.03
81997644995458a01126899a96832353,unavailable,2018-02-26 16:58:27,,,,,81997644995458a01126899a96832353,81997644995458a01126899a968323531,162.45
c8c528189310eaa44a745b8d9d26908b,canceled,2018-08-28 20:05:14,,,,,c8c528189310eaa44a745b8d9d26908b,c8c528189310eaa44a745b8d9d26908b1,0.0
b13ea375fe9c728832688264638f84cf,canceled,2018-08-22 18:52:29,,,,,b13ea375fe9c728832688264638f84cf,b13ea375fe9c728832688264638f84cf1,139.22
a91e25d9e242b0545cddf83a2bb46954,unavailable,2017-02-01 13:27:48,,,,,a91e25d9e242b0545cddf83a2bb46954,a91e25d9e242b0545cddf83a2bb469541,108.38
12e5a909c18964acada1ce9a760d9afe,unavailable,2017-03-23 23:41:40,,,,,12e5a909c18964acada1ce9a760d9afe,12e5a909c18964acada1ce9a760d9afe1,1620.77
259fe605870f08ddf83ebb61f204b9e1,unavailable,2017-08-17 08:58:59,,,,,259fe605870f08ddf83ebb61f204b9e1,259fe605870f08ddf83ebb61f204b9e11,52.59
6111350dd1f8b825ac82e9caea339f07,unavailable,2017-11-17 10:23:15,,,,,6111350dd1f8b825ac82e9caea339f07,6111350dd1f8b825ac82e9caea339f071,282.3
8e24261a7e58791d10cb1bf9da94df5c,unavailable,2017-11-16 15:09:28,,,,,8e24261a7e58791d10cb1bf9da94df5c,8e24261a7e58791d10cb1bf9da94df5c1,84.0
ba43195b0f997630dab0e5b6dae0a6ab,unavailable,2018-01-12 12:30:21,,,,,ba43195b0f997630dab0e5b6dae0a6ab,ba43195b0f997630dab0e5b6dae0a6ab1,59.0
dd3346a58fc7d6db3cb6f403c325ead9,unavailable,2018-01-21 19:04:45,,,,,dd3346a58fc7d6db3cb6f403c325ead9,dd3346a58fc7d6db3cb6f403c325ead91,198.8
93942353ebd22541194b59e590c0d7de,unavailable,2017-02-08 13:32:00,,,,,93942353ebd22541194b59e590c0d7de,93942353ebd22541194b59e590c0d7de1,83.11
9b95554e4a79777fcb0168932c4a9522,unavailable,2017-03-24 15:27:47,,,,,9b95554e4a79777fcb0168932c4a9522,9b95554e4a79777fcb0168932c4a95221,1641.51
4bbe949608f669144f0db3f8cde75cd7,unavailable,2017-09-05 14:22:59,,,,,4bbe949608f669144f0db3f8cde75cd7,4bbe949608f669144f0db3f8cde75cd71,213.52
2559552ea70a7caa245eca67f410a3f4,unavailable,2017-10-22 20:44:47,,,,,2559552ea70a7caa245eca67f410a3f4,2559552ea70a7caa245eca67f410a3f41,38.68
7c48bf2308168ce82b8e622eb9dd8627,unavailable,2017-10-13 13:31:56,,,,,7c48bf2308168ce82b8e622eb9dd8627,7c48bf2308168ce82b8e622eb9dd86271,59.11
a84212c880e5635e2a0888ba25c027c7,unavailable,2018-05-11 15:25:59,,,,,a84212c880e5635e2a0888ba25c027c7,a84212c880e5635e2a0888ba25c027c71,96.49
d177b7c08ed2934d5888e7fd236d42e1,canceled,2017-08-17 13:20:41,,,,,d177b7c08ed2934d5888e7fd236d42e1,d177b7c08ed2934d5888e7fd236d42e11,31.77
6cf5c427fb11bc5fe8abefa86aa7ba0b,unavailable,2017-10-17 10:53:48,,,,,6cf5c427fb11bc5fe8abefa86aa7ba0b,6cf5c427fb11bc5fe8abefa86aa7ba0b1,131.78
d9f0325894bf21440caaed1e42006eaa,unavailable,2017-11-12 12:20:04,,,,,d9f0325894bf21440caaed1e42006eaa,d9f0325894bf21440caaed1e42006eaa1,61.19
a2bcbea8668a0d93334cf7f7fafe921d,unavailable,2018-02-12 15:38:41,,,,,a2bcbea8668a0d93334cf7f7fafe921d,a2bcbea8668a0d93334cf7f7fafe921d1,93.3
92a195ed387f8e7f9151eae7a7ec13f0,unavailable,2018-05-17 11:29:01,,,,,92a195ed387f8e7f9151eae7a7ec13f0,92a195ed387f8e7f9151eae7a7ec13f01,291.63
129ea9ae4b85283decb23ea1756f505d,canceled,2018-08-09 08:09:33,,,,,129ea9ae4b85283decb23ea1756f505d,129ea9ae4b85283decb23ea1756f505d1,58.98
fc20b8e282da6f3fbcdd3a3cedecb723,unavailable,2017-03-01 10:02:02,,,,,fc20b8e282da6f3fbcdd3a3cedecb723,fc20b8e282da6f3fbcdd3a3cedecb7231,3782.19
51b00c5a9b0224f467f74d55424b4235,unavailable,2017-07-09 11:20:12,,,,,51b00c5a9b0224f467f74d55424b4235,51b00c5a9b0224f467f74d55424b42351,89.63
49c5132b03e35ffa18fdca050d1f8e33,unavailable,2017-10-30 23:52:49,,,,,49c5132b03e35ffa18fdca050d1f8e33,49c5132b03e35ffa18fdca050d1f8e331,108.2
19d3484384a0e1eef23357b8c193bd86,unavailable,2017-11-02 22:33:01,,,,,19d3484384a0e1eef23357b8c193bd86,19d3484384a0e1eef23357b8c193bd861,104.35
3f2467ae6b5a92494a59e95de0d79ba8,unavailable,2018-01-21 09:43:40,,,,,3f2467ae6b5a92494a59e95de0d79ba8,3f2467ae6b5a92494a59e95de0d79ba81,28.46
3a3aed58b078ba2d2105cd76ce7a76d7,canceled,2017-05-25 16:12:51,,,,,3a3aed58b078ba2d2105cd76ce7a76d7,3a3aed58b078ba2d2105cd76ce7a76d71,285.11
6e98de3a85c84ead6689189b825d35b5,canceled,2018-03-15 10:07:02,,,,,6e98de3a85c84ead6689189b825d35b5,6e98de3a85c84ead6689189b825d35b51,73.16
1ad22e16129698e1a3cc11e4350d2cb7,canceled,2018-09-12 15:32:16,,,,,1ad22e16129698e1a3cc11e4350d2cb7,1ad22e16129698e1a3cc11e4350d2cb71,84.58
2ce9683175cdab7d1c95bcbb3e36f478,invoiced,2016-10-05 21:03:33,,,,,2ce9683175cdab7d1c95bcbb3e36f478,2ce9683175cdab7d1c95bcbb3e36f4781,73.04
bd7585a77f0aa76b3775bb68fb293356,unavailable,2017-02-08 10:46:02,,,,,bd7585a77f0aa76b3775bb68fb293356,bd7585a77f0aa76b3775bb68fb2933561,30.81
c9e893d2e32f6ca9988b30669eb71e5a,unavailable,2017-02-06 12:02:23,,,,,c9e893d2e32f6ca9988b30669eb71e5a,c9e893d2e32f6ca9988b30669eb71e5a1,39.96
b302801106ed1f5eb6f08ccdae6fea99,unavailable,2017-07-18 15:51:54,,,,,b302801106ed1f5eb6f08ccdae6fea99,b302801106ed1f5eb6f08ccdae6fea991,170.28
ca9d82b594244464dddfac0959180268,unavailable,2017-08-09 12:26:30,,,,,ca9d82b594244464dddfac0959180268,ca9d82b594244464dddfac09591802681,164.62
2f634e2cebf8c0283e7ef0989f77d217,unavailable,2017-09-27 20:55:33,,,,,2f634e2cebf8c0283e7ef0989f77d217,2f634e2cebf8c0283e7ef0989f77d2171,615.53
fe87d4b944748f63ca5ed22cc55b6fb6,unavailable,2017-12-05 09:20:36,,,,,fe87d4b944748f63ca5ed22cc55b6fb6,fe87d4b944748f63ca5ed22cc55b6fb61,173.68
e8e186c0ebe18282aada53c56e7da34f,canceled,2017-05-02 07:34:35,,,,,e8e186c0ebe18282aada53c56e7da34f,e8e186c0ebe18282aada53c56e7da34f1,50.64
d8a40a1358d3b2dca231abdaa566b054,unavailable,2017-01-25 01:20:19,,,,,d8a40a1358d3b2dca231abdaa566b054,d8a40a1358d3b2dca231abdaa566b0541,94.12
1c7c8ab324927f5b6e52338bd110bef4,unavailable,2017-12-23 18:48:09,,,,,1c7c8ab324927f5b6e52338bd110bef4,1c7c8ab324927f5b6e52338bd110bef42,824.0
1c7c8ab324927f5b6e52338bd110bef4,unavailable,2017-12-23 18:48:09,,,,,1c7c8ab324927f5b6e52338bd110bef4,1c7c8ab324927f5b6e52338bd110bef41,110.09
4ffd41fadb59bd398d869be78f1b2be3,unavailable,2018-03-26 09:37:59,,,,,4ffd41fadb59bd398d869be78f1b2be3,4ffd41fadb59bd398d869be78f1b2be31,789.55
5226f1a731e8a1215da5e1bea64e2130,canceled,2016-10-10 09:51:13,,,,,5226f1a731e8a1215da5e1bea64e2130,5226f1a731e8a1215da5e1bea64e21301,113.32
b059ee4de278302d550a3035c4cdb740,canceled,2018-10-16 20:16:02,,,,,b059ee4de278302d550a3035c4cdb740,b059ee4de278302d550a3035c4cdb7401,222.03
46f36d95da75ced0462d57df904d36d0,unavailable,2017-03-02 15:27:25,,,,,46f36d95da75ced0462d57df904d36d0,46f36d95da75ced0462d57df904d36d01,34.51
03227bf7c543bbee4efa38bb6c6763c8,unavailable,2017-09-08 17:57:39,,,,,03227bf7c543bbee4efa38bb6c6763c8,03227bf7c543bbee4efa38bb6c6763c81,248.8
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c91,2.32
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c94,4.74
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c95,6.64
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c92,11.15
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c96,11.66
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c97,14.63
0b398dbb3e7c81005f3c69b01488c4c9,unavailable,2017-09-27 20:51:53,,,,,0b398dbb3e7c81005f3c69b01488c4c9,0b398dbb3e7c81005f3c69b01488c4c98,15.76
